status_delayed,sch_dep_time,carrier_delta,carrier_us,carrier_envoy,carrier_continental,carrier_discovery,carrier_other,dest_jfk,dest_ewr,dest_lga,distance,origin_dca,origin_iad,origin_bwi,bad_weather,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,1,0,0,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,1,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,1,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
1,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
1,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,1,0,0,0,0,0,0,1
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,7.58,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,7.98,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,7.98,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,1,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,1,0
1,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,1,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
1,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,1,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,1,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
1,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,13.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,1,0,0
1,16.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,1,0
0,16.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,1,0
1,16.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,1,0
0,16.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,1,0
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
1,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,1,1,0,0,0,0,0,0
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,17.50,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
1,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
1,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,1,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
1,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
1,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
1,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,1,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,1,0,0,0,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
1,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,1,0
1,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,0,0,0,1
1,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,1,0,0,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,1,0,0,0,0
0,19.00,0,0,0,1,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,1,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,1,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,1,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,0,1,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,0,0,1
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,1,0,0,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,1,0,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,1,0,0,0,0
1,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,1,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,1,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,0,1,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,0,0,1
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,1,0,0,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,1,0,0,0,0,0
1,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,1,0,0,0,0
1,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,1,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,1,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,0,1,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,0,0,1
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,1,0,0,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,1,0,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,1,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,1,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,1,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,0,1,0
1,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,1,0,0,0,0,0,0,1
1,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,1,1,0,0,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,1,0,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,1,0,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,1,0,0,0
0,8.83,0,0,0,0,0,1,0,0,1,229,0,1,0,0,0,0,0,0,1,0,0
1,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
1,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
1,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,6.50,0,1,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,6.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
1,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
1,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
1,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,1,0,0,0,0,0,0,1
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,7.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,1,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,1,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
1,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,1,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,1,0
1,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
1,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
1,8.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
1,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,9.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,1,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,1,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
1,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,1,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,1,0,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,1,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,1,0,0,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,1,0,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,1,0,0,0
0,10.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,1,0,0
0,11.50,1,0,0,0,0,0,0,0,1,214,1,0,0,0,0,0,0,0,0,0,1
